MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss
 
stn|time|tre200s0|sre000z0|rre150z0|dkl010z0|fu3010z0|pp0qnhs0|fu3010z1|ure200s0|prestas0|pp0qffs0
TAE|201904241850|9.3|0|0.0|315|5.0|1008.8|7.6|72|945.9|1009.0
COM|201904241850|11.9|0|0.1|169|24.8|1013.3|60.8|85|945.9|1012.8
ABO|201904241850|5.2|0|0.0|49|6.1|1008.1|13.3|84|859.2|-
AIG|201904241850|7.8|0|0.0|193|2.2|1007.4|4.3|93|962.5|1007.9
ALT|201904241850|12.4|0|0.0|136|25.9|1007.7|37.4|72|956.2|1007.4
AND|201904241850|7.9|0|0.0|168|3.6|1012.9|5.8|90|899.7|-
RAG|201904241850|13.7|0|0.0|133|34.6|1009.1|57.6|60|951.0|1008.4
BAS|201904241850|-|-|-|-|-|-|-|-|-|-
BER|201904241850|7.9|0|0.0|31|5.0|1008.4|7.9|90|943.8|1008.9
BEZ|201904241850|9.3|0|0.0|139|1.1|1008.7|2.9|76|970.2|1009.1
BIZ|201904241850|10.6|0|0.0|283|5.4|1009.4|14.0|70|954.5|1009.4
BIE|201904241850|7.4|0|0.0|118|5.0|1007.2|7.9|85|928.0|-
BOL|201904241850|5.7|0|0.0|24|2.2|1008.3|5.4|88|913.9|-
BOU|201904241850|10.1|-|-|148|6.1|1007.6|10.1|81|963.6|1007.8
BRZ|201904241850|-|-|0.0|343|14.4|1007.4|31.0|-|941.3|-
BUS|201904241850|8.7|0|0.0|7|2.9|1008.7|5.4|82|963.1|1009.1
BUF|201904241850|1.5|0|0.1|132|3.2|1015.8|7.9|94|800.1|-
FRE|201904241850|5.2|0|0.0|177|5.0|1007.5|10.1|78|871.3|-
CHA|201904241850|3.3|0|0.0|201|53.6|1007.2|77.0|73|830.5|-
CHU|201904241850|10.9|0|0.0|223|17.6|1010.7|34.2|82|945.7|1010.5
CHD|201904241850|5.7|0|0.0|360|4.3|1008.2|6.8|89|891.0|-
CIM|201904241850|4.4|0|0.0|165|32.8|1014.5|51.5|98|829.9|-
GSB|201904241850|-1.5|0|0.0|279|45.7|1011.5|60.5|100|746.6|-
CMA|201904241850|-1.1|0|-|178|34.9|1012.0|52.9|100|747.6|-
CRM|201904241850|7.6|0|0.0|19|5.8|1008.0|7.9|93|957.5|1008.6
DAV|201904241850|5.2|0|0.0|200|7.9|1012.6|13.0|87|835.1|-
DEM|201904241850|7.2|0|0.0|96|2.9|1007.4|6.5|92|955.9|1008.1
DIS|201904241850|5.7|0|0.0|302|3.2|1012.2|6.8|97|876.4|-
EBK|201904241850|9.9|0|0.0|270|3.6|1008.7|7.6|72|936.2|-
EGH|201904241850|-3.8|0|-|142|18.0|1012.7|33.8|100|710.1|-
EGO|201904241850|8.0|0|0.0|160|3.6|1008.6|6.5|86|947.6|1009.1
EIN|201904241850|6.3|0|0.0|57|2.9|1009.2|6.1|88|904.7|-
ELM|201904241850|9.6|0|0.1|173|13.7|1009.9|30.2|74|900.2|-
ENG|201904241850|6.4|0|0.3|235|4.0|1008.7|7.2|87|890.6|-
EVO|201904241850|6.7|0|0.0|126|16.6|1010.4|30.2|44|809.6|-
FAH|201904241850|7.3|0|0.0|98|8.6|1007.0|14.4|75|937.6|1007.7
GRA|201904241850|8.0|0|0.0|21|5.8|1007.8|7.9|90|932.3|-
GVE|201904241850|12.9|0|0.0|238|4.7|1007.0|9.4|55|958.7|1006.7
GIH|201904241850|10.4|0|0.0|101|15.8|1008.5|27.7|69|953.3|1008.5
GLA|201904241850|11.2|0|0.0|112|6.1|1008.4|12.2|67|947.9|1008.1
GOR|201904241850|-3.4|0|-|161|34.6|1011.9|59.0|64|688.6|-
GRE|201904241850|7.4|0|0.0|83|5.0|1008.3|9.4|95|958.0|1009.0
GRH|201904241850|1.9|0|0.0|168|42.8|1011.5|64.4|88|797.3|-
GRO|201904241850|10.5|0|0.4|349|6.8|1014.4|9.7|98|976.0|1014.6
GOE|201904241850|9.2|0|0.0|38|2.9|1008.5|9.0|83|963.6|1008.8
GUE|201904241850|-|-|-|-|-|-|-|-|-|-
GUT|201904241850|10.6|0|0.0|269|13.3|1008.5|27.0|65|956.8|1008.5
HLL|201904241850|9.8|0|0.0|314|4.3|1008.8|7.2|68|959.5|1009.0
HOE|201904241850|5.3|0|0.0|285|8.6|1008.6|13.7|90|880.1|-
INT|201904241850|10.3|0|0.0|298|16.9|1007.6|34.6|67|940.3|1007.5
JUN|201904241850|-7.9|0|-|156|59.0|1011.2|80.3|100|649.8|-
KOP|201904241850|7.9|0|0.0|79|5.4|1008.6|7.9|91|951.8|1009.2
BRL|201904241850|7.8|0|0.0|202|12.6|1007.1|22.3|59|887.7|-
CDF|201904241850|7.1|0|0.0|282|6.8|1007.2|13.7|69|891.3|-
DOL|201904241850|3.6|0|0.0|189|56.5|1007.4|77.8|65|823.0|-
LAG|201904241850|6.8|0|0.0|105|1.4|1008.7|3.6|92|922.7|-
MLS|201904241850|3.7|0|0.0|192|29.5|1008.1|41.0|64|793.1|-
LEI|201904241850|9.1|0|0.0|231|5.8|1008.7|8.3|78|968.4|1009.1
ATT|201904241850|-0.9|0|-|185|50.0|1010.1|65.2|59|722.5|-
OTL|201904241850|14.2|0|0.0|282|8.6|1013.7|20.9|72|969.5|1013.2
LUG|201904241850|12.7|0|0.0|229|3.2|1014.4|6.8|93|978.7|1014.3
LUZ|201904241850|10.3|0|0.0|299|3.6|1008.8|7.9|66|955.4|1008.8
LAE|201904241850|6.4|0|-|326|14.0|1008.6|19.4|82|911.4|-
MAG|201904241850|15.4|0|0.0|327|18.4|1013.5|40.7|71|989.1|1013.2
MAS|201904241850|6.8|-|0.0|276|4.7|-|8.3|91|-|-
MER|201904241850|13.6|0|0.0|94|36.4|1007.0|59.0|52|938.5|1006.0
MVE|201904241850|7.6|0|0.0|56|22.3|1009.4|40.0|61|850.1|-
GEN|201904241850|5.2|0|0.0|152|27.7|1015.2|67.0|99|836.8|-
MRP|201904241850|-2.1|0|-|39|11.5|1011.8|36.7|70|710.1|-
MOA|201904241850|-|-|-|-|-|-|-|-|-|-
MOE|201904241850|7.7|0|0.0|229|1.1|1008.7|2.5|93|968.2|1009.2
MUB|201904241850|7.5|0|0.0|46|0.4|1007.8|3.6|96|951.6|1008.5
NAS|201904241850|0.2|0|-|86|7.2|1015.2|14.0|98|759.6|-
NAP|201904241850|3.8|0|0.0|72|18.0|1008.2|29.9|90|851.0|-
NEU|201904241850|8.5|0|0.0|34|10.1|1007.7|13.3|83|951.0|1008.1
CGI|201904241850|9.3|0|0.0|4|5.0|1007.1|6.5|80|953.4|1007.4
ORO|201904241850|9.4|0|0.0|142|5.0|1007.6|7.2|66|912.3|-
PAY|201904241850|8.6|0|0.0|49|6.5|1007.6|7.9|86|950.3|1008.0
PIL|201904241850|2.8|0|0.0|169|33.8|1008.3|58.0|69|780.7|-
PIO|201904241850|8.9|0|0.3|63|11.5|1012.8|23.8|85|899.3|-
COV|201904241850|-5.1|0|0.4|136|38.2|1015.1|84.2|94|675.9|-
PMA|201904241850|-1.8|0|0.1|183|39.6|1013.3|58.7|92|730.9|-
PLF|201904241850|6.9|0|0.0|203|1.8|1008.0|4.0|79|889.2|-
ROB|201904241850|7.1|0|0.0|6|4.7|1016.1|9.7|88|892.7|-
PUY|201904241850|9.4|0|0.0|11|4.7|1007.0|9.4|86|953.6|1007.3
QUI|201904241850|-|-|-|31|4.3|1007.9|16.6|-|958.6|-
ROE|201904241850|2.2|0|0.3|181|7.9|1013.3|28.8|100|805.3|-
RUE|201904241850|6.3|0|0.0|44|5.0|1008.3|7.9|97|937.1|-
SBE|201904241850|3.3|0|0.5|173|4.7|1014.0|12.6|100|831.8|-
HAI|201904241850|8.1|0|0.0|283|15.5|1008.7|25.2|72|925.5|-
SAM|201904241850|2.9|0|0.0|158|7.9|1014.8|13.7|93|825.3|-
SHA|201904241850|10.8|0|0.0|59|4.3|1008.5|9.7|61|957.0|1008.5
SCM|201904241850|-|-|-|238|15.1|1009.2|18.7|-|961.2|-
SPF|201904241850|7.4|0|0.0|35|13.3|1008.8|23.0|82|922.7|-
SCU|201904241850|7.8|0|0.0|202|10.4|1013.9|21.2|78|866.5|-
SIO|201904241850|10.9|0|0.0|160|1.8|1007.8|4.0|82|951.4|1007.7
PRE|201904241850|-|-|-|43|5.8|-|8.6|-|-|-
STG|201904241850|8.5|0|0.0|326|11.2|1009.2|25.2|76|919.6|-
SMM|201904241850|5.9|0|0.0|166|4.0|1015.4|8.3|92|859.2|-
SBO|201904241850|13.7|0|0.0|48|6.8|1014.8|15.8|90|973.1|1014.5
STK|201904241850|-|-|-|242|20.5|1008.5|29.9|-|961.8|-
SAE|201904241850|0.4|0|0.0|131|31.7|1011.0|63.7|74|745.6|-
THU|201904241850|8.1|0|0.0|344|5.4|1008.6|9.0|85|942.1|1009.0
TIT|201904241850|-4.7|0|-|149|55.8|1008.4|81.7|100|689.2|-
ULR|201904241850|4.3|0|0.1|243|6.5|1012.1|9.7|96|860.5|-
VAD|201904241850|15.4|0|0.0|220|19.4|1007.8|43.2|48|954.1|1006.8
VAB|201904241850|4.3|0|0.0|166|14.0|1012.3|23.8|96|837.6|-
VIS|201904241850|12.2|0|0.0|107|41.0|1009.1|56.9|65|934.7|-
WFJ|201904241850|-0.9|0|0.0|152|43.2|1013.3|52.6|81|730.7|-
WYN|201904241850|7.8|0|0.0|257|2.2|1008.7|5.0|92|959.0|1009.3
WAE|201904241850|10.1|0|0.0|121|4.7|1008.8|8.6|66|951.9|1008.9
ZER|201904241850|7.0|0|0.0|185|14.4|1010.7|25.6|55|829.0|-
REH|201904241850|8.9|0|0.0|80|6.8|1008.7|14.4|78|956.6|1009.1
SMA|201904241850|8.7|0|0.0|71|6.5|1008.9|15.1|77|943.9|1009.2
KLO|201904241850|9.7|0|0.0|91|10.4|1008.5|19.4|72|958.4|1008.8
