MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss
 
stn;time;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202002131810;1.3;2.0;0;1;92;0.2;267;11.5;22.7;946.8;1011.9;1009.8;-;-;-;-;-;-;-;-
COM;202002131810;8.0;0.0;0;4;33;-7.5;204;14.8;25.6;947.2;1015.2;1014.6;-;-;-;-;-;-;-;-
ABO;202002131810;4.7;0.1;0;4;70;-0.3;219;27.4;68.0;859.5;-;1008.5;1417.3;-;-;-;-;-;-;-
AIG;202002131810;4.9;0.0;0;2;84;2.4;167;28.8;49.0;965.7;1011.8;1010.7;-;-;-;-;-;-;-;-
ALT;202002131810;10.4;0.0;0;0;33;-5.3;157;38.9;72.7;956.2;1007.8;1007.7;-;-;-;-;-;-;-;-
ARH;202002131810;5.6;0.6;0;0;85;3.3;-;-;-;962.8;1010.6;1009.6;-;-;-;-;-;-;-;-
AND;202002131810;4.5;0.0;0;0;39;-8.3;164;41.8;78.5;898.5;-;1011.6;1438.2;-;-;-;-;-;-;-
ANT;202002131810;-1.2;0.0;0;7;63;-7.4;231;41.4;61.9;850.5;-;1011.6;1443.6;-;-;-;-;-;-;-
ARO;202002131810;-1.1;0.0;0;0;48;-10.8;201;20.2;45.0;802.7;-;1008.1;1419.1;-;-;-;-;-;-;-
RAG;202002131810;9.8;0.0;0;0;28;-7.6;111;35.3;68.4;949.8;1008.0;1007.9;-;-;-;-;-;-;-;-
BAN;202002131810;-;-;0;2;-;-;-;-;-;-;-;-;-;-;259;71.6;107.6;-;-;-
BAS;202002131810;6.3;0.0;0;0;78;2.8;220;18.0;30.6;970.7;1008.9;1008.1;-;-;-;-;-;-;-;-
LAT;202002131810;-0.4;0.0;-;-;54;-8.5;30;5.4;11.5;-;-;-;-;-;-;-;-;-;-;-
BER;202002131810;5.5;0.6;0;0;88;3.7;241;22.3;58.0;945.4;1011.2;1010.1;-;-;-;-;-;-;-;-
BEZ;202002131810;3.9;0.0;0;3;87;1.9;190;9.7;20.2;970.5;1010.2;1009.0;-;-;-;-;-;-;-;-
